ref0,PID1,ADPID2,LQG3,Control
0,0.019901847,0.000498586,0.705559828,231
0,0.021605007,0.000532091,0.70561097,231
0,0.023292243,0.000565427,0.705662052,231
0,0.024963764,0.000598595,0.705713212,231
0,0.026619775,0.000631596,0.705764312,231
0,0.028260479,0.000664433,0.705815488,231
0,0.029886077,0.000697106,0.705866605,231
0,0.030857575,0.00071711,0.705917742,231
0,0.031820395,0.000737018,0.70596882,231
0,0.032774649,0.00075683,0.706019918,231
0,0.033720449,0.000776547,0.706070957,231
0,0.034657904,0.000796169,0.706122014,231
0,0.035587122,0.000815699,0.706173012,231
0,0.036508209,0.000835135,0.706224029,231
0,0.037421269,0.00085448,0.706274986,231
0,0.038326407,0.000873735,0.70632596,231
0,0.039223724,0.000892899,0.706376875,231
0,0.035106297,0.000814001,0.706427398,231
0,0.031028541,0.000735513,0.706477861,231
0,0.026989931,0.00065743,0.706527937,231
0,0.022989952,0.00057975,0.706577953,231
0,0.019028095,0.000502467,0.706627584,231
0,0.015103858,0.000425579,0.706677157,231
0,0.011216746,0.000349082,0.706726349,231
0,0.00736627,0.000272971,0.706775483,231
0,0.003551951,0.000197244,0.706824239,231
0,-0.000226686,0.000121896,0.706872936,231
0,-0.000578993,0.000113279,0.706921529,231
0,-0.000928576,0.000104696,0.706970064,231
0,-0.00127547,9.61E-05,0.707018494,231
0,-0.001619708,8.76E-05,0.707066866,231
0,-0.001961323,7.92E-05,0.707115135,231
0,-0.002300349,7.07E-05,0.707163345,231
0,-0.002636816,6.23E-05,0.707211453,231
0,-0.002970756,5.39E-05,0.707259502,231
0,-0.003302202,4.56E-05,0.707307449,231
0,-0.003631184,3.73E-05,0.707355337,231
0,-0.004036974,2.74E-05,0.707403118,231
0,-0.004439612,1.77E-05,0.707450841,231
0,-0.004839137,7.90E-06,0.707498456,231
0,-0.005235588,-1.81E-06,0.707546013,231
0,-0.005629004,-1.15E-05,0.707593464,231
0,-0.006019423,-2.11E-05,0.707640856,231
0,-0.006406881,-3.07E-05,0.707688142,231
0,-0.006791415,-4.02E-05,0.707735371,231
0,-0.007173062,-4.98E-05,0.707782494,231
0,-0.007551857,-5.92E-05,0.707829559,231
0,-0.006894661,-4.85E-05,0.707876596,231
0,-0.006244442,-3.77E-05,0.707923576,231
0,-0.005601106,-2.71E-05,0.707970528,231
0,-0.00496456,-1.65E-05,0.708017422,231
0,-0.004334713,-6.00E-06,0.708064288,231
0,-0.003711475,4.46E-06,0.708111096,231
0,-0.003094757,1.49E-05,0.708157877,231
0,-0.002484472,2.52E-05,0.708204599,231
0,-0.001880534,3.55E-05,0.708251293,231
0,-0.001282857,4.57E-05,0.708297929,231
0,-0.002027963,2.97E-05,0.708344439,231
0,-0.002766539,1.38E-05,0.708390892,231
0,-0.00349867,-2.09E-06,0.708437219,231
0,-0.004224439,-1.79E-05,0.708483488,231
0,-0.004943929,-3.36E-05,0.708529633,231
0,-0.005657219,-4.92E-05,0.70857572,231
0,-0.006364389,-6.48E-05,0.708621683,231
0,-0.007065518,-8.03E-05,0.708667589,231
0,-0.007760684,-9.57E-05,0.708713371,231
0,-0.008449963,-0.000111049,0.708759096,231
0,-0.008312712,-0.000110275,0.708804757,231
0,-0.008177475,-0.000109515,0.70885036,231
0,-0.008044224,-0.000108769,0.7088959,231
0,-0.00791293,-0.000108035,0.708941382,231
0,-0.007783566,-0.000107315,0.708986801,231
0,-0.007656105,-0.000106608,0.709032162,231
0,-0.007530519,-0.000105913,0.70907746,231
0,-0.007406781,-0.000105231,0.7091227,231
0,-0.007284867,-0.000104561,0.709167877,231
0,-0.007164749,-0.000103903,0.709212997,231
0,-0.004453417,-5.25E-05,0.709258233,231
0,-0.001768323,-1.41E-06,0.709303412,231
0,0.000890881,4.94E-05,0.709348706,231
0,0.003524536,0.00010002,0.709393943,231
0,0.00613298,0.00015034,0.709439293,231
0,0.008716543,0.000200399,0.709484586,231
0,0.011275555,0.000250202,0.709529991,231
0,0.013810337,0.000299749,0.709575339,231
0,0.016321209,0.000349045,0.709620797,231
0,0.018808483,0.000398091,0.709666198,231
0,0.020049186,0.000422953,0.709711625,231
0,0.02127846,0.000447691,0.709756995,231
0,0.022496455,0.000472307,0.70980239,231
0,0.023703319,0.000496802,0.709847728,231
0,0.024899197,0.000521177,0.70989309,231
0,0.026084231,0.000545432,0.709938396,231
0,0.027258562,0.00056957,0.709983725,231
0,0.028422331,0.000593591,0.710028998,231
0,0.029575673,0.000617496,0.710074293,231
0,0.030718725,0.000641286,0.710119532,231
0,0.030917388,0.000646682,0.710164731,231
0,0.03111485,0.000652059,0.710209874,231
0,0.031311123,0.000657415,0.710254977,231
0,0.031506221,0.000662753,0.710300023,231
