Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
0.251679786,-0.049166088,0.273072938,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.2557736,-0.045250986,0.26942015,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.259793658,-0.041409339,0.265686513,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.263738801,-0.037642306,0.261873111,0.3083741,0.345072372,8.80593266,-0.308417686,1
0.267607889,-0.033951026,0.257981047,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.271399809,-0.030336613,0.254011449,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.275113466,-0.026800161,0.249965468,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.27874779,-0.023342741,0.245844274,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.282301732,-0.0199654,0.241649062,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.285774267,-0.016669163,0.237381047,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.289164395,-0.013455031,0.233041464,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.292471138,-0.010323982,0.22863157,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.295693542,-0.007276969,0.224152643,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.298830677,-0.004314921,0.219605979,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.30188164,-0.001438743,0.214992893,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.304845551,0.001350686,0.210314723,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.307721554,0.004052511,0.205572822,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.31050882,0.006665903,0.200768563,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.313206547,0.009190059,0.195903336,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.315813955,0.0116242,0.190978549,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.318330293,0.013967576,0.185995629,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.320754835,0.01621946,0.180956017,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.323086882,0.018379154,0.175861172,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.325325762,0.020445985,0.170712568,0.283177574,0.227477426,8.746819106,-0.282309066,1
0.327470828,0.022419308,0.165511695,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.329521464,0.024298504,0.160260058,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.331477076,0.026082983,0.154959177,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.333337101,0.02777218,0.149610586,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.335101003,0.02936556,0.144215832,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.336768273,0.030862613,0.138776477,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.338338431,0.03226286,0.133294093,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.339811023,0.033565847,0.127770269,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.341185625,0.03477115,0.122206601,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.34246184,0.035878374,0.116604699,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.343639301,0.036887149,0.110966184,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.344717668,0.037797137,0.105292687,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.34569663,0.038608027,0.09958585,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.346575905,0.039319537,0.093847324,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.347355238,0.039931413,0.088078768,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.348034407,0.040443431,0.082281851,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.348613213,0.040855395,0.076458252,0.224344634,-0.041542493,8.716774837,-0.253321804,1
